,noEC,,,,,,,,EC,,,,,,,
currents,nerve,Fascicle_00,Fascicle_01,Fascicle_02,Fascicle_03,Fascicle_04,Fascicle_05,Fascicle_06,nerve,Fascicle_00,Fascicle_01,Fascicle_02,Fascicle_03,Fascicle_04,Fascicle_05,Fascicle_06
-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4,3,0,3,0,0,0,0,0,13,0,13,0,0,0,0,0
-0.6,24,0,24,0,0,0,0,0,97,7,61,16,0,0,0,13
-0.8,58,0,57,1,0,0,0,0,403,59,82,79,52,32,51,48
-1,114,6,79,16,0,0,0,13,541,79,82,102,78,60,72,68
-1.2,206,31,81,46,6,1,7,34,600,85,82,113,90,70,84,76
-1.4,340,55,82,77,31,13,31,51,628,88,82,118,93,75,89,83
-1.6,439,69,82,93,54,29,50,62,639,91,82,118,95,78,92,83
-1.8,515,78,82,107,63,47,65,73,644,91,82,118,95,79,96,83
-2,559,85,82,114,76,54,69,79,651,91,82,118,97,83,97,83
-2.2,600,87,82,118,84,66,80,83,654,91,82,118,99,84,97,83
-2.4,615,89,82,118,90,69,84,83,658,91,82,118,99,87,98,83
-2.6,628,91,82,118,92,73,89,83,658,91,82,118,99,87,98,83
-2.8,633,91,82,118,93,76,90,83,658,91,82,118,99,87,98,83
-3,639,91,82,118,95,78,92,83,658,91,82,118,99,87,98,83
-3.2,643,91,82,118,95,78,96,83,658,91,82,118,99,87,98,83
-3.4,650,91,82,118,97,82,97,83,658,91,82,118,99,87,98,83
-3.6,653,91,82,118,99,83,97,83,658,91,82,118,99,87,98,83
-3.8,655,91,82,118,99,84,98,83,658,91,82,118,99,87,98,83
-4,658,91,82,118,99,87,98,83,658,91,82,118,99,87,98,83
